year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1977,14.1,20.1,14.8,12.2,8.8,11.6,4.3,12,6.3,11.2,13.9,13.3,47.4,35.8,27.8,31.4,142.5
1978,14.9,12.7,13.5,10,7,10.3,12.1,13.2,8.2,4.1,7.8,19.9,40.9,30.5,35.5,20.1,133.6
1979,13.2,9.1,18,13.2,16.1,6.6,4,11.7,5.9,10.6,13.4,16,42.2,47.4,22.4,29.9,138
1980,10.1,13.9,16.1,3.6,5.2,17.6,10.1,10.6,9.5,15.4,13.1,11.2,40,25,38.2,38,136.5
1981,11.6,7.9,19.7,8.1,16.7,6.7,7.7,5,13.9,15.7,10.5,12.2,30.6,44.5,19.4,40.2,135.8
1982,11.9,8.2,14.9,4.9,7.3,17,4.1,13.3,10.5,13.1,16.2,11.1,32.2,27.1,34.5,39.8,132.6
1983,14,8.1,13.8,16.8,18.9,5.3,6.3,4.6,12.5,11.4,5.4,14,33.2,49.5,16.2,29.4,131.2
1984,18.5,9.9,9.7,2.9,8.3,7.6,4.7,8.1,13.8,12.8,16.1,13.5,42.5,20.9,20.4,42.7,125.9
1985,11.1,4.3,12.9,11.7,10.6,14.7,10.8,15.5,5.7,5.4,11.6,14.8,28.9,35.2,41.1,22.7,129.2
1986,17.7,3.6,14.1,13.9,14,5.7,8.9,12.5,2,12.6,13.9,17.5,36.1,42,27.1,28.4,136.2
1987,5.3,8.5,12.9,9.2,10.3,18.1,10.1,9.5,10.1,16.5,10.2,7.3,31.3,32.4,37.7,36.8,128
1988,18.9,10.2,15.7,8.4,11.9,7.1,17.4,11.1,8.1,11.9,5.6,7.1,36.4,36,35.7,25.6,133.5
1989,8.2,12.1,13.4,14.5,4.4,7.7,5.5,7.7,5.6,13.3,7.4,12.7,27.4,32.3,20.8,26.3,112.4
1990,17.2,16,5.3,8.6,4,13,5.8,6.3,8.1,12.9,10.1,12.8,45.9,17.9,25.2,31.1,120
1991,11.7,9,11.8,9.6,3.3,17.5,8.9,4.7,8.1,8.7,11.5,6.1,33.5,24.7,31.2,28.2,110.9
1992,5.6,8.8,15.2,12.5,7.9,6.7,11.5,15.2,13.4,10.7,16.7,8.8,20.5,35.7,33.4,40.9,133.2
1993,16.2,2.6,4,13.1,10.9,9.7,13.4,8,13.2,10.1,7.6,19.7,27.6,28,31.2,31,128.6
1994,16.2,11.6,15,12.7,10.3,6.1,7.2,9.2,14.8,12.4,11.9,15.1,47.5,38,22.5,39,142.6
1995,17.2,16.3,12.9,4.6,8.1,4.1,5.5,2.9,13.7,6.3,11.7,10.8,48.6,25.7,12.5,31.7,114.1
1996,8.9,13.3,8.1,7.8,8.8,5.6,8,10.8,5.2,13.9,15,7.4,33,24.7,24.4,34,112.7
1997,3.6,14.3,6.4,4.6,12.3,16.9,10.1,12.3,6.2,7.6,16.2,12.9,25.3,23.2,39.3,30.1,123.3
1998,13.3,4.7,11.6,18.4,5.3,18.4,9.3,7.4,11.7,17.3,12.2,15.6,30.9,35.2,35.1,41.3,145.1
1999,18.4,10.3,13.3,13.8,10.9,11.8,4.1,13.3,14.7,10.3,9.2,19.9,44.3,37.9,29.3,34.3,150
2000,7.2,15.8,5.7,18.7,11.7,8.1,10.4,11.3,14.5,18,18.2,16.5,42.9,36.1,29.8,50.7,156.2
2001,10,12.2,13,16,7.3,6.2,8.5,13.3,13.6,16.2,9.8,7.1,38.6,36.2,28,39.6,133
2002,12.8,17.4,8,8,13.5,8.9,12.7,8.7,3.2,14.5,19.3,16.2,37.3,29.6,30.3,37,143.3
2003,12.3,5.4,6,7.9,14,9.3,10.5,3.1,5,7.7,12.3,12.2,34,27.8,22.9,25.1,105.7
2004,16.8,8.7,10.7,13.5,8.8,9,11,17.6,10.7,17,9.4,8.3,37.7,33,37.5,37.1,141.5
2005,9.6,9.9,9.3,12.3,8.8,9,7.7,9.3,9.9,13.5,10.8,8.8,27.7,30.5,26,34.1,118.8
2006,6.1,8.6,14.9,10,16.6,4.6,7.3,14.5,10.6,14.2,13.4,13.8,23.5,41.5,26.4,38.1,134.5
2007,15.7,16.4,8.8,1.9,14.5,15.3,17.9,7.1,7,5.7,10.2,11.5,45.9,25.2,40.2,22.9,131.9
2008,17.9,6.1,14.2,14.6,8.1,8.8,13.6,16.5,12.2,11.2,13.4,8.1,35.5,36.9,38.8,36.8,144.5
2009,11.7,7.7,6.6,9.1,10.7,8.6,19.1,10.9,3.2,10.5,22.4,15.8,27.5,26.4,38.7,36,136.3
2010,12.6,13.7,10.1,6,6.3,7.1,10.3,14.1,12.1,10.6,12.7,7.2,42,22.4,31.4,35.4,122.7
2011,10.5,12.8,2.9,2.2,9.5,10.8,9.4,10.3,10.1,10.6,9.3,16.2,30.6,14.5,30.5,30,114.6
2012,11.8,5.4,5.1,20.1,8.5,18,17.2,14.8,10,14,12.8,17.8,33.4,33.7,50.1,36.8,155.6
